scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,tags,income_max,category,disability_required,education_level,course,cgpa_min,benefit_type,benefit_amount,state,gender
Pre-Matric Scholarship for Backward Class Students,pmsfbcs,"The scheme ""Pre-Matric Scholarship for Backward Class Students"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh aims to provide financial assistance to backward class students studying at the pre-matriculation level in India. Through this scheme, monthly scholarships of varying amounts are provided to eligible students to help them complete their education. The applications for this scheme are processed through educational institutions. The scheme is implemented across the entire state of Madhya Pradesh.","Classes 6th to 8th Boys: ₹20/- per month Girls: ₹30/- per month Classes 9th to 10th Boys: ₹30/- per month Girls: ₹40/- per month NOTE:  The scheme is individual in nature, covering all of Madhya Pradesh. Scholarships are awarded for 10 months annually and paid in one installment on 30th September.",The applicant should be a student of classes 6th to 10th. The parents/guardians of the applicant should not be income taxpayers. The parents/guardians of the applicant should not own more than 10 acres of land.,"Step 1: The interested applicant should visit the Head of the Educational Institution and request the hard copy of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Caste Certificate Income Certificate Land Ownership Proof (Showing Less Than 10 Acres of Land) Bank Account Details Application Form in the Prescribed Format Bonafide Certificate or Proof of Admission in School Proof of Age or Date of Birth (e.g., Birth Certificate or School Records) Academic Records (If Applicable)",State,Education & Learning,"Financial Assistance, Backward Class, Student, Education, School",,,False,School,,,scholarship,40.0,,
"""SUPER 30"" Scheme",s30s,"The scheme ""Super 30"" was launched by the Directorate of Secondary Education, Government of Tripura. The scheme aims to provide free coaching for JEE/ NEET to the students who are appearing in the class 10th Board Final Examination and want to pursue Science Stream in Class 11th & 12th with the aspiration to crack the JEE / NEET exam.","The scheme covers the coaching fees (capped at ₹1,00,000/-) & the accommodation fees of ₹1,40,000/- per annum (with 5% extra in 2nd year), for attaining a two-year coaching programme for JEE/ NEET at a nationally reputed Coaching Institution outside Tripura. ﻿","The applicant should be a resident of Tripura. The applicant should be a student. The applicant should belong to the Scheduled Tribe (ST)/ Scheduled Caste (SC)/ Person with Disability (PH) community. The student should have passed the class-10th Pre-Board/ Pre-Test Exam from the government-recognized school of Tripura with 50% marks. The applicant should be appearing for the class 10th board final exam. The annual income of the family of the applicant should not exceed ₹1,00,000/-. ﻿","Registration Process: Step 1: Applicant should visit the official website , and click on “Have An Account”. Step 2: Click on “New Account”. Provide your phone number and fill in the captcha code in the designated field. An OTP will be generated and sent to the registered phone number. Step 3: Enter the OTP into the application to verify your phone number. Step 4: Once your phone number is verified, you'll be prompted to create a password for your account. Choose a strong and secure password. Application Process:  Step 1: Log in to the application using your registered phone number and the newly created password. Step 2: You'll be directed to the registration page again. Navigate to the registration section of the application. Step 3: Fill in all the required details in the registration form accurately, and submit the registration form. Step 4 (Optional): Once your registration is successfully submitted, you may have the option to print the application form for your records or further processing. ﻿ ﻿","Original Income Certificate issued by the Sub-Divisional Magistrate (SDM)/ Deputy Commissioner of Magistrate (DCM). Online generated Selection Test Admit Card. Class X Board final mark sheet (60% and above marks applicable) including production of original marksheets. SC/ ST/ PH Certificate (if any). Permanent Resident Tripura Certificate (PRTC). Any other document, as required. ﻿",State,Education & Learning,"School, Student, Education, Coaching, JEE, NEET",100000.0,"SC,ST",True,School,,50.0,coaching,140000.0,Tripura,
AICTE – Mitacs Globalink Research Internship (GRI) Scheme,am-gris,"AICTE, on 23rd February 2018, entered into a Memorandum of Understanding with Mathematics of Information Technology and Computer Systems (MITACS) Canada for AICTE – MITACS Globalink Research Internships (GRI) Program to foster cross-border partnerships focused on creating a platform that opens the path for collaborative research between Canada and India to a wider pool of student talent in India. The AICTE-MITACS GRI Program is open to Science, Technology, Engineering, and Mathematics (STEM) disciplines. The duration of the internship is 12 weeks. A maximum of 300 students are accepted in a financial year. The student fulfilling the eligibility criteria shall apply directly to MITACS Canada via its portal. The total cost of the program is $12,000 CAD per student. MITACS will contribute $9,000 CAD per student. AICTE will contribute $3,000 CAD per student. The full cost per student includes airfare, visa, medical, stipend, accommodation, Globalink Student Mentors, programming, and research costs. It will also include access to Globalink branded activities in Canada, which may include professional skills workshops, receptions, and industrial engagement activities.","The total cost of the program is $12,000 CAD per student. MITACS will contribute $9,000 CAD per student. AICTE will contribute $3,000 CAD per student. The full cost per student includes airfare, visa, medical, stipend, accommodation, Globalink Student Mentors, programming, and research costs. It will also include access to Globalink branded activities in Canada, which may include professional skills workshops, receptions, and industrial engagement activities.","The applicant must be a 3rd-year full-time student of an undergraduate program (B.E / B.Tech) in AICTE Approved Institution in the year of application. The applicant must have a minimum CGPA / GPA of 85% in 2nd year. The applicant must be at least 18 years of age. The applicant must be able to spend twelve (12) weeks between May and September at a university in Canada on a research project related to their area of interest and expertise. The applicant must be able to demonstrate oral and written fluency in English or French, depending on the primary language of the project as indicated by the Canadian host professor.","PROCEDURE TO APPLY The student fulfilling the eligibility criteria shall apply directly to MITACS Canada via its portal and follow the procedure, guidelines, and terms and conditions mentioned therein; All materials submitted to MITACS must be in either English or French. If materials submitted are not in one of Canada’s official languages, notarized transcripts must be submitted. Before leaving the country for pursuing Globalink Research Internships (GRI) in Canada, student should have a valid passport and has obtained all necessary documents and permissions including a visa, air tickets for air travel, etc.","Candidates must provide the following with their application to the AICTE-GRI Program, in accordance with the instructions on the MITACS online application portal: Official yearly transcripts for all years in university; Curriculum Vitae (CV); One (1) reference letter from a post-secondary academic supervisor or researcher and Project rationale; Any other document(s) mentioned in MITACS GRI Portal; Upon completion of the Internships, the candidate must submit the feedback form.",Central,Education & Learning,"Internship, Research",,,False,UG,Engineering,85.0,stipend,,,
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),sak-deg,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. The candidate should be admitted to the First year of the Degree level course OR the Second year of the Degree level course through lateral entry in any of the AICTE-approved institutions of the respective year. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.","₹50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. After selection, the awardee will be paid a scholarship through DBT mode on annual basis. The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with letter from the Head of the Institution on the online portal",The candidate should be admitted to the First year of the Degree level course OR the Second year of the Degree level course through lateral entry in any of the AICTE-approved institutions of the respective year. Specially-abled students have a disability of not less than 40%. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year. A valid income certificate issued by State /UT Government needs to be enclosed.,"Step 1: Keep ready the soft copies of the required documents. Go to http://www.scholarships.gov.in/. and click “New Registration”. Guidelines for Registration will appear. Scroll to the bottom. Read carefully the undertaking. Accept the Terms. Click “Continue”.  Step 2: A Registration Form will appear. (The fields marked as * are compulsory) Fill in the details and click “Register”. Your Application ID and password will be displayed. The same will also be sent as an SMS on your registered mobile number. ﻿ Step 3: Go to https://scholarships.gov.in/fresh/newstdRegfrmInstruction Click on “Login to Apply”. Enter your Application ID and password. Type the Captcha and click “Login”. On the next screen, provide the OTP received on your registered mobile number. You will be directed to the Password Reset screen. Create a new password and confirm. Click “Submit”. You will be directed to the “Applicant’s Dashboard”. ﻿ Step 4: On the left pane, click “Application Form”. The fields marked as * are compulsory. Fill the details and upload the documents. You can either click on “Save as Draft” to com","Aadhaar Copy of SSC/10th certificate & mark sheet, Copy of HSC/12th certificate (In case of Degree level) & mark sheet. Copy of ITI certificate (In case of Lateral Entry for Diploma level) & mark sheet. Copy of Diploma certificate (In case of Lateral Entry for Degree level) & mark sheet. Category Certificate, if applicable. Study/ Bonafide Certificate (Appendix-I). Annual Family Income Certificate (Appendix-II). Promotion Certificate in case of renewal (Appendix-III).",Central,Education & Learning,"Scholarship, PwD",800000.0,,True,UG,,40.0,scholarship,50000.0,,
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),sak-dip,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.","₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. After selection, the awardee will be paid a scholarship through DBT mode on annual basis. The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal",The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year. Specially-abled students have a disability of not less than 40%. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year. A valid income certificate issued by State /UT Government needs to be enclosed.,"Step 1: Keep ready the soft copies of the required documents. Go to http://www.scholarships.gov.in/. and click “New Registration”. Guidelines for Registration will appear. Scroll to the bottom. Read carefully the undertaking. Accept the Terms. Click “Continue”.  Step 2: A Registration Form will appear. (The fields marked as * are compulsory) Fill in the details and click “Register”. Your Application ID and password will be displayed. The same will also be sent as an SMS on your registered mobile number. ﻿ Step 3: Go to https://scholarships.gov.in/fresh/newstdRegfrmInstruction Click on “Login to Apply”. Enter your Application ID and password. Type the Captcha and click “Login”. On the next screen, provide the OTP received on your registered mobile number. You will be directed to the Password Reset screen. Create a new password and confirm. Click “Submit”. You will be directed to the “Applicant’s Dashboard”. ﻿ Step 4: On the left pane, click “Application Form”. The fields marked as * are compulsory. Fill the details and upload the documents. You can either click on “Save as Draft” to complete the application later. Else, click “Final Submit” to submit the application.","Aadhaar Copy of SSC/10th certificate & mark sheet, Copy of HSC/12th certificate (In case of Degree level) & mark sheet. Copy of ITI certificate (In case of Lateral Entry for Diploma level) & mark sheet. Copy of Diploma certificate (In case of Lateral Entry for Degree level) & mark sheet. Category Certificate, if applicable. Study/ Bonafide Certificate (Appendix-I). Annual Family Income Certificate (Appendix-II). Promotion Certificate in case of renewal (Appendix-III).",Central,"Education & Learning, Social welfare & Empowerment","Scholarship, PwD",800000.0,,True,Diploma,,40.0,scholarship,50000.0,,
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,ai-tgses,"A Travel Grant Scheme by the All India Council for Technical Education (AICTE) and by the Indian National Academy of Engineering (INAE), for the students from AICTE approved Engineering College/institutions. The scheme aims at enhancing the quality of engineering education in the country and to inculcate a culture of research amongst the students. The scheme aims to provide partial travel assistance and registration fees to Bachelors's and Masters's Level engineering students for presenting a research paper at an international scientific event(conference/seminar/symposium/workshop/exhibition etc) to encourage engineering students to engage in research. Pre-final and final year students of B.E./B.Tech or Integrated M.Tech and first and second-year students of M.E./M. Tech from AICTE-approved Engineering Institutions is eligible under the scheme. The student must have scored a minimum 7 CGPA or 65% in order to be eligible to apply under this scheme. The student should have a letter of acceptance for presenting a research paper that has been accepted in a conference/seminar/symposium/workshop/exhibition abroad.","Financial Support The reimbursement of 100% Registration Fee, Visa Fee including travel insurance up to ₹5000. The reimbursement of 50% of the actual Airfare or discounted /concessional air tickets along with local transport from the airport to the venue for presentation, in case not claimed from any other source. Actual fare not exceeding AC II-Class train fare will be admissible for travel from the Technical Institution to the nearest airport and back in India). The maximum financial support per student for all the above reimbursements is limited to ₹1,00,000. ﻿","The applicant must EITHER be a Pre-final/final year student of B.E./B.Tech, OR Integrated M.Tech and first/second-year student of M.E./M. Tech, OR Students pursuing MS Research, M.Sc. in Engineering, dual degree B.Tech and M.Tech or any degree with a minimum of 4 years of engineering studies. The applicant must be pursuing the degree course from an AICTE-approved Engineering Institution. The applicant must have scored a minimum of 7 CGPA or 65% in the previous year's annual examination. The applicant must possess a letter of acceptance for presenting a research paper accepted in a conference/seminar/symposium/workshop/exhibition abroad. ﻿ NOTE: A student is eligible only once during the course of his/her study for finance al support under the subject scheme.","Procedure to Apply ﻿ The application should be sent at least eight weeks prior to the date of presentation of the research paper through email at inaehq@inae.in and hard copy as well at the following address: Executive Director Indian National Academy of Engineering (INAE) Unit No 604-609 6th Floor, Tower A, SPAZE I-Tech Park, Sector-49, Sohna Road, Gurgaon - 122 018 Phone: 0124-4239480 Fax: 0124-4239481 Website: www.inae.in ﻿","Curriculum Vitae containing the Date of Birth and Age, Awards, Scholarships, Educational Qualification, Research Experience, and List of Publications. Passport Size Photograph. A copy of the Letter of Acceptance from the organizers of the event. Abstract/Full text of paperas submitted for the event. A brief on the Project Impact of the paper presented. A brief on Expected Outcome from the paper presented. A scanned copy of the Certificate by the student. A scanned copy of the Endorsement by the Head of the Institution.",Central,"Education & Learning, Travel & Tourism","Travel, Grant, Student",,,False,,Engineering,65.0,financial_assistance,100000.0,,
AICTE-Swanath Scholarship Scheme For Students,aicte-ssss,"A scholarship scheme by the Student Development Cell (StDC) of All India Council for Technical Education (AICTE) to provide encouragement and support to orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed) to pursue education. This is an attempt to give every such child, an opportunity to study further and prepare for a successful future through education in AICTE Approved institutions and courses. The family income from all sources should not be more than ₹8,00,000 per annum during the financial year of the application. The candidate should be currently studying in the AICTE Approved institutions and courses at the Degree/Diploma level in regular mode (in 1st /2nd / 3rd /4th year). The candidate should NOT be a Recipient of any of the Central Govt. / State Govt. / AICTE Sponsored scholarships. A maximum of 2000 scholarships (1000 for Degree Students and 1000 for Diploma Students) will be awarded every year to eligible candidates as above. ₹50,000.00 per annum for every year of study i.e. maximum 4 years duration for first-year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.","NUMBER OF SCHOLARSHIPS A maximum of 2000 scholarships (1000 for Degree Students and 1000 for Diploma Students) will be awarded every year to eligible candidates as above. ﻿ AMOUNT OF SCHOLARSHIP Rs. 50,000.00 per annum for every year of study i.e. maximum 4 years duration for the first year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. ﻿ No other additional grant will be payable in lieu of hostel charges, medical charges, etc. In case the student is currently studying in the 2nd /3rd/4th year at degree level the duration of the scholarship will be reduced to 3/2/1 year respectively. Similarly, for students currently studying in the 2nd /3rd year at diploma level, the duration of the scholarship will be reduced to 2/1 year respectively.","The candidate should be one of the following: (i) an orphan, OR (ii) whose either or both parents died due to Covid 19, OR (iii) Ward of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed). The family income from all sources should not be more than ₹8,00,000 per annum during the financial year of the application. The candidate should be currently studying in the AICTE Approved institutions and courses at the Degree/Diploma level in regular mode (in 1st /2nd / 3rd /4th year). The candidate should NOT be Recipient of any of the Central Govt. / State Govt. / AICTE Sponsored scholarships.","Step 1: Go to Official Website . Guidelines for Registration will appear. Scroll to the bottom. Read carefully the undertaking. Accept the Terms. Click “Continue”. Step 2:  A Registration Form will appear. (The fields marked as * are compulsory) Fill in the details: State of domicile, Scholarship Category, Name of the Student, Scheme Type, Date of Birth, Gender, Mobile Number, Email ID, Bank Details, and Identification Details. Click “Register”. Your Application ID and password will be displayed. The same will also be sent as an SMS on your registered mobile number. Step 3: Go to the Official Website . Click on “Login to Apply”. Enter your Application ID and password. Type the Captcha and click “Login”. On the next screen, provide the OTP received on your registered mobile number. You will be directed to the Password Reset screen. Create a new password and confirm. Click “Submit”. You will be directed to the “Applicant’s Dashboard”. Step 4: On the left pane, click “Application Form”. The fields marked as * are compulsory. Fill in the details and upload the documents. You can either click on “Save as Draft” to complete the application later. Else, click “Final Submit” to submit the application. After successful submission of the application form, an application ID and password will be generated which can be used for future references. ﻿ Note All the applicants are advised to fill out the form correctly, no changes can be made once submitted. The applicants are also advised to fill in only one application as multiple applications will cancel the form.","A. For Orphan Candidates: (i) Death Certificates of both Father & Mother (if available), OR a certificate issued by Tehsildar / SDM as per enclosed format (Annexure – I). (ii) Bonafide Certificate issued by the institution. (iii) 10+2 / equivalent and 10th Mark sheet for Degree Level (iv) 10th /equivalent Mark sheet for Diploma Level (v) Category Certificate (SC/ST/OBC-NCL) ﻿ B. For Candidates whose either or both Parents Died due to Covid 19: (i) Death Certificate of Father/Mother or both explicitly mentioning that the death was due to Covid-19. (ii) If one parent (Father or Mother) is alive, the current year income certificate, explicitly mentioning that income of the family is less than ₹8,00,000 (issued by the Competent Authority). (iii) Bonafide Certificate issued by the institution. (iv) 10+2/equivalent and 10th Mark sheet for Degree Level (v) 10th /equivalent Mark sheet for Diploma Level (vi) Category Certificate (SC/ST/OBC-NCL) ﻿ C. For Wards of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed) (i) Death Certificate. (ii) Shaheed Certificate issued by the Armed Forces/ Central Paramilitary Forces (iii) Bonafide Certificate issued by the institution. (iv) 10+2/equivalent and 10th Mark sheet for Degree Level (v) 10th /equivalent Mark sheet for Diploma Level (vi) Current year income certificate, explicitly mentioning that income of family less than ₹8,00,000, issued by Competent Authority. (vii) Category Certificate (SC/ST/OBC-NCL)",Central,Education & Learning,"Orphan, Scholarship",800000.0,,False,Diploma,,,scholarship,,,
Aapki Beti Yojana,aby,"The ""Aapki Beti Yojana"" scheme was launched by the School Education Department, Government of Rajasthan, to support girls in continuing their education in government schools from Class 1 to 12. Under the scheme, financial assistance of ₹2,100/- per year is provided to girls studying in Class 1 to 8 in government schools who belong to families living below the poverty line (BPL) and whose one or both parents have passed away. For girls studying in Class 9 to 12, the assistance is ₹2,500/- per year. The scheme is implemented by the Rajasthan Balika Shiksha Foundation.","Financial Assistance: ₹2,100/- per annum for girl students in classes 1 st to 8 th . ₹2,500/- per annum for girl students in classes 9 th to 12 th . Mode of Disbursement: Direct Benefit Transfer (DBT) to the bank account linked with Jan Aadhaar of the family head or the girl child.",The applicant should be a native of Rajasthan. The applicant should be a girl student The applicant should be studying in a government school in Rajasthan. The applicant should be studying in classes 1 st to 12 th . The applicant’s family should fall under the Below Poverty Line (BPL) category. The applicant should have lost either one parent (single parent) or both parents.,"To avail of the benefits of the scheme, the parents/guardians need to contact their respective government school. Data Entry on Shala Darpan Portal: School authorities log in through the Shala Darpan School Login . Navigate to the ""Student"" tab and fill required details in Form-9. Category Selection for Eligible Girls: Under the “Mandatory Student Information for Beneficiary Schemes” section, select class-wise eligible girls under “BPL” and “Orphan/Single Parent” categories. Beneficiary Approval: Visit the Beneficiary Scheme Portal through School Login. Select the appropriate scheme and approve and lock the displayed list of eligible girls. Verification by District Education Officer (DEO): Locked data is reflected on the DEO (primary/secondary) office login. DEO completes final verification using OTP-based approval. Jan Aadhaar Verification: Before submission, ensure that the girl’s Jan Aadhaar is verified on the Shala Darpan Portal, as funds are transferred via DBT.",Passport size photo of the applicant Identity proof of applicant Educational Certificates BPL Certificate Death Certificate of Parent(s) Jan Aadhaar Card of Family Head or the Girl Bank Account Passbook linked with Jan Aadhaar Any Other Document if Required,State,"Education & Learning, Women and Child","Financial Assistance, Girl Student, BPL, Below Poverty Line, Daughter",,,False,School,,,financial_assistance,2500.0,Rajasthan,Female
Aaws Bhatta Sahayata Yojana,absy,"The Awas Bhatta Sahayata Yojana is a scheme under the Higher Education Department of the Government of Madhya Pradesh to provide assistance to economically disadvantaged students belonging to Scheduled Castes and Scheduled Tribes. It aims to support students who have to rent accommodation near their college due to the distance from their homes. Under this scheme, financial aid is provided to help cover rental expenses, thereby easing the burden on students pursuing higher education and ensuring equitable access to educational opportunities for marginalized communities in the state. ﻿ Important Point After approval, reimbursement is made into the student's bank account. Principals of government institutions will be the approving officers of their institution. For non-government institutions, the principal of the government institution will be the approving officer of the concerned non-government institutions. The amount of rent above the prescribed housing assistance will have to be borne by the student himself. In case of failure or postponement of examination results, students will become ineligible for this scheme in the coming year.","In Bhopal, Indore, Jabalpur, Gwalior, and Ujjain cities ₹2,000/- per student per month. At district headquarters ₹1,250/- per student per month. At the tehsil and development block level ₹1,000/- per student per month.","The applicant must belong to the Scheduled Caste category. The applicant must be admitted as a regular student in a government or recognized non-government college. The applicant must not be admitted to any government hostel. The annual income of the student's family must be as per the income limit prescribed in the Post Matric Scholarship Scheme, which is currently ₹6,00,000/- per annum. The college or the student's permanent residence should not be located within the geographical limits of the same local body (urban body/gram panchayat).","Registration Step-1: Go to the official website of ""State Scholarship Portal 2.0"" ﻿ ﻿ using a web browser. Step-2: Look for the option that says ""Register yourself"" ﻿ on the homepage and click on it. Step-3: Read the registration guidelines carefully before proceeding. then click Continue. Step-4: Fill in the required details accurately in the registration form. This typically includes personal information such as - Scholarship Category - State -  Name -  Date of birth -  Gender -  Contact details, etc. Step-5: Click submit Register and you get your Student application ID. ﻿ Apply Step-1: Go to the official website of ""State Scholarship Portal 2.0"" using a web browser. Step-2:  click on Login ﻿ Step-3: After that enter you - Application ID. - Password - Captcha Step-4: Click Login and select your scheme name. Step-5: After clicking your scheme name then enter your name father's name, samgra ID, Aadhar number, bank account etc. Step-6: Now upload your photo signature and important documents. Step-7: Remember, the fields marked with an asterisk (*) are mandatory. Step-8: After filling in all your information details and uploading the documents click submit","10th and 12th class mark sheet. Certificate of the class in which the student is studying. Certificate of Scheduled Caste, Scheduled Tribe (the category to which the student belongs). Passport size photograph. Bank account passbook.",State,Education & Learning,"Student, Colleges, Financial Support, Educaction",600000.0,SC,False,,,,other,2000.0,,
Abhinandan Education Loan Subsidy Scheme,aelss,"The objective of this scheme is to provide a loan subsidy of up to Rs 50,000 on education loans to students pursuing higher education from good institutions. The Abhinandan Education Loan Subsidy Scheme has been started with the Housing Scheme. Under this scheme, the Government of Assam will provide a one-time subsidy on loans to all students pursuing higher education on education loans. Under the Abhinandan Scheme all major banks, all commercial banks such as  Federal Bank and HDFC are included. ﻿ In this scheme, the state government will provide subsidy to the family of those students who has taken an education loan of more than Rs 1 lakh. Students getting an education on an education loan can subscribe to this scheme online or offline","Benefits A subsidy of Rs 50,000 will be provided to students by the Government of Assam on education loans up to Rs 1 lakh. In this scheme, all the applicant students can apply for the subsidy by paying 25% of their loans. Under this scheme, the subsidy can be obtained only on loans taken from commercial banks like Federal Bank and HDFC and regional rural banks like Assam Rural Regional Bank. In this scheme, all students have to get financial help by encouraging students on education loans. ﻿","Eligibility Criteria It is mandatory for the student to be a permanent resident of the state of Assam. The student must have taken a loan from a commercial or rural bank, otherwise, he cannot avail of the benefit of the scheme. The bank has been recognized by the Reserve Bank of India. The benefit of this scheme can be availed only as a subsidy on education loans. It is mandatory for the student’s parents to have an education loan of more than Rs 1 lakh.","Application process Visit the official website . With the respect to the ""Abhinandhan Education Loan Subsidy"", click on apply option. The Assam Abhinandhan Scheme Online Application Form will appear. Now provide the required details. Upload the required documents and submit",List of the required document Student’s Aadhaar Card Parent Identification Documents Bank loan documents Residence certificate,State,"Education & Learning, Skills & Employment","Abhinandan, Education Loan, Subsidy Scheme",100000.0,,False,,,,loan,,Assam,
